user_id,action_type,target_id,target_type,metadata,points_earned,timestamp,id,created_date,updated_date,created_by_id,created_by,is_sample
"69056a7822f8d8602b8a5bef","feedback_given","69056d06f03b90351de97bf6","feedback","{""track_id"":""69056313239a09389b9dd8dd"",""track_title"":""trust no one"",""artist_name"":""Young Death"",""tier"":""comprehensive"",""sentiment"":""praise""}","30","2025-11-01 02:14:32.002","690897826886283d4023fcd9","2025-11-03T11:52:34.893000","2025-11-03T11:52:34.893000","69083db69ccd1df29c9359c9","knoedlerjosiahd@gmail.com","false"
"69056a7822f8d8602b8a5bef","track_upload","690571e760bab9b3a21b58e0","track","{""title"":""Void"",""genres"":[""Goth Rock"",""Alternative""],""motifs"":[""chill"",""moody"",""melancholic"",""minimal""]}","0","2025-11-01 02:35:20.207","690897826886283d4023fcdb","2025-11-03T11:52:34.893000","2025-11-03T11:52:34.893000","69083db69ccd1df29c9359c9","knoedlerjosiahd@gmail.com","false"
"6904b6d46257f14ce2e4440c","feedback_given","690584b591a20787aeaf0d45","feedback","{""track_id"":""690571e760bab9b3a21b58e0"",""track_title"":""Void"",""artist_name"":""Whitey"",""tier"":""masterful"",""sentiment"":""praise""}","50","2025-11-01 03:55:34.198","690897826886283d4023fcde","2025-11-03T11:52:34.893000","2025-11-03T11:52:34.893000","69083db69ccd1df29c9359c9","knoedlerjosiahd@gmail.com","false"
"69056a7822f8d8602b8a5bef","feedback_given","69061c55bf759dc07d8c2fed","feedback","{""track_id"":""6905a5e7139b74190f81e051"",""track_title"":""Double Bakk (feat. WAR&B)"",""artist_name"":""Fundrip"",""tier"":""comprehensive"",""sentiment"":""praise""}","30","2025-11-01 14:42:30.643","690897826886283d4023fcef","2025-11-03T11:52:34.893000","2025-11-03T11:52:34.893000","69083db69ccd1df29c9359c9","knoedlerjosiahd@gmail.com","false"
"69056a7822f8d8602b8a5bef","vote_cast","6905859e58ba1b516ce95e88","track","{""track_title"":""3 days no sleep"",""artist_name"":""Young Death"",""votes_allocated"":1}","0","2025-11-02 01:27:33.883","690897826886283d4023fcf8","2025-11-03T11:52:34.893000","2025-11-03T11:52:34.893000","69083db69ccd1df29c9359c9","knoedlerjosiahd@gmail.com","false"
"6904b6d46257f14ce2e4440c","vote_cast","69061e5538e2d3d08f3be50e","track","{""track_title"":""100 Bad Habits"",""artist_name"":""Net$u"",""votes_allocated"":1}","0","2025-11-02 01:53:56.053","690897826886283d4023fcfd","2025-11-03T11:52:34.893000","2025-11-03T11:52:34.893000","69083db69ccd1df29c9359c9","knoedlerjosiahd@gmail.com","false"
"6908181359dc9bceced7352e","vote_cast","6905a64ac0856d05eb65a0db","track","{""track_title"":""dye hoar"",""artist_name"":""Young Death"",""votes_allocated"":10}","0","2025-11-03 03:35:49.719","690897826886283d4023fd20","2025-11-03T11:52:34.894000","2025-11-03T11:52:34.894000","69083db69ccd1df29c9359c9","knoedlerjosiahd@gmail.com","false"
"6908181359dc9bceced7352e","vote_cast","6906c7d05fd4d1f160886e7a","track","{""track_title"":""KiLLiN EViL"",""artist_name"":""GONEFUBAR"",""votes_allocated"":10}","0","2025-11-03 03:35:55.616","690897826886283d4023fd21","2025-11-03T11:52:34.894000","2025-11-03T11:52:34.894000","69083db69ccd1df29c9359c9","knoedlerjosiahd@gmail.com","false"
"69056a7822f8d8602b8a5bef","feedback_given","69056f398b597b6935ae505b","feedback","{""track_id"":""69056313239a09389b9dd8dd"",""track_title"":""trust no one"",""artist_name"":""Young Death"",""tier"":""masterful"",""sentiment"":""praise""}","50","2025-11-01 02:23:54.426","690897826886283d4023fcda","2025-11-03T11:52:34.893000","2025-11-03T11:52:34.893000","69083db69ccd1df29c9359c9","knoedlerjosiahd@gmail.com","false"
"690571d8f03b90351de98139","track_upload","6906c7d05fd4d1f160886e7a","track","{""title"":""KiLLiN EViL"",""genres"":[""Hip Hop"",""Alternative"",""Trap""],""motifs"":[""dark""],""has_exclusive_content"":false}","0","2025-11-02 02:54:09.724","690897826886283d4023fcfe","2025-11-03T11:52:34.893000","2025-11-03T11:52:34.893000","69083db69ccd1df29c9359c9","knoedlerjosiahd@gmail.com","false"
